# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PGCleanTarget/Train2/Training/Hmmr-Build/hmm_preGroup_1.txt
# target sequence database:        /home/arjen/16/PGCleanTarget/Train2/TrSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_preGroup_1  [M=426]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    ------- ------ -----    ------- ------ -----   ---- --  -------- -----------
   5.2e-170  559.2   6.3   5.9e-170  559.0   6.3    1.1  1  Q7M1E7_1  
   8.3e-166  545.3   6.4   9.8e-166  545.1   6.4    1.1  1  Q9FY19_1  
   4.4e-165  542.9   7.2   5.4e-165  542.6   7.2    1.1  1  P43212_1  
   9.8e-164  538.5   8.8   1.1e-163  538.4   8.8    1.0  1  P35336_1  
   1.4e-157  518.2  21.1   1.7e-157  517.9  21.1    1.0  1  P05117_1  
   1.8e-157  517.9  20.9   1.9e-157  517.7  20.9    1.0  1  Q8RY29_2  
   5.1e-157  516.4  19.6   5.6e-157  516.2  19.6    1.0  1  O23147_1  
     1e-156  515.4   2.1   1.1e-156  515.3   2.1    1.0  1  Q02096_1  
   1.2e-156  515.1   8.5   1.3e-156  515.0   8.5    1.0  1  Q9SFB7_2  
     1e-155  512.1  15.9   1.1e-155  512.0  15.9    1.0  1  P48978_1  
     1e-154  508.8   1.4   1.2e-154  508.5   1.4    1.0  1  Q94AJ5_1  
   6.3e-150  493.0   7.6     8e-150  492.6   7.6    1.0  1  Q9LW07_1  
   3.1e-149  490.7   3.3   3.8e-149  490.4   3.3    1.0  1  Q39786_1  
   5.3e-149  490.0   2.9   6.5e-149  489.7   2.9    1.0  1  Q39766_1  
   5.8e-145  476.6  15.5   6.3e-145  476.5  15.5    1.0  1  P26216_1  
     6e-145  476.6  15.7   6.5e-145  476.5  15.7    1.0  1  P35338_1  
   2.1e-144  474.8   9.7   2.4e-144  474.6   9.7    1.0  1  P49063_2  
