Id_Seq	Index
Q9LW07_1	1
P48979_1	2
O22818_1	3
P49062_1	4
P35339_1	5
P26216_1	6
P35338_1	7
Q6H9K0_1	8
P35337_1	9
P49063_2	10
Q39786_1	11
Q39766_1	12
Q40312_1	13
Q05967_1	14
P24548_1	15
Q94AJ5_1	16
O23147_1	17
Q8RY29_2	18
Q02096_1	19
P35336_1	20
P48978_1	21
Q9SFB7_2	22
P05117_1	23
Q949Z1_1	24
P43212_1	25
Q9FY19_1	26
Q7M1E7_1	27
A7PZL3_1	28
P27644_1	29
P15922_1	30
P18192_1	31
P26509_1	32
P58598_1	33
P20041_1	34
Q00001_1	35
A2QYE5_1	36
P87160_1	37
Q5ARE6_2	38
A2R3G4_1	39
A1DED1_1	40
Q4WV23_1	41
B0Y0Q3_1	42
Q2TWN8_1	43
Q0CFC7_1	44
A2QXE8_2	45
B8NKB9_2	46
Q2U7A4_1	47
I1BPS7_1	48
I1BYN5_1	49
I1BYM7_1	50
I1BYN6_1	51
A1D7I1_1	52
Q4WX94_1	53
B0XYC4_1	54
Q0CXI3_1	55
Q27UB0_1	56
Q2UQ40_1	57
Q5B7U1_1	58
Q9UUZ2_1	59
A2QK83_1	60
B8NPS8_1	61
Q2UBD8_1	62
A1DBT5_1	63
Q4WBT4_2	64
B0Y9F8_2	65
Q27UB1_1	66
Q0C7H7_1	67
B8NX60_1	68
Q2TW03_2	69
Q873X6_1	70
A1DAX2_1	71
Q4WBK6_2	72
B0YAA4_2	73
Q00359_1	74
Q4WCZ8_2	75
A1DLC1_2	76
B8NG16_1	77
Q27UB3_1	78
Q00293_1	79
Q0CGP0_1	80
Q5ASG9_1	81
Q27UB2_1	82
Q5ARN5_1	83
A2RAY7_1	84
A1D415_1	85
A2QG68_2	86
Q2UP32_1	87
Q2EQQ2_1	88
A2QBB4_2	89
O97400_1	90
Q07181_1	91
Q5AYH4_1	92
A1DBR6_1	93
Q9P4W2_1	94
Q2UT29_2	95
B8MW78_1	96
P47180_1	97
P26215_1	98
Q00446_1	99
P49575_1	100
P35335_2	101
P41749_1	102
B8N7Z8_1	103
A1DAQ2_1	104
Q4WBE1_1	105
B0YAH0_1	106
Q5B508_2	107
Q9P4W3_1	108
Q1HAY5_1	109
P19805_1	110
P26214_1	111
Q8NK98_2	112
Q9P359_1	113
Q9Y834_1	114
Q9Y718_1	115
O42824_1	116
Q9P4W4_1	117
Q8NK99_1	118
Q9P358_1	119
P26213_1	120
Q70HJ4_1	121
Q0CMU3_1	122
Q2UHL4_1	123
P41750_1	124
A1CIV8_1	125
Q4WQT2_1	126
A1CVV8_1	127
O59925_1	128
Q12708_1	129
O93883_1	130
Q9Y833_1	131
Q5ATQ3_1	132
Q4WR80_1	133
A1D145_1	134
O74213_1	135
Q70HJ3_1	136
Q12554_1	137
A2QL39_1	138
A2QBB6_1	139
O42809_1	140
