# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PLC/TargetE/Application/Hmmr-Build/hmm_Group_4.txt
# target sequence database:        /home/arjen/16/PLC/TargetE/ApSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_Group_4  [M=1238]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence    Description
    ------- ------ -----    ------- ------ -----   ---- --  --------    -----------
          0 2175.7   0.0          0 2175.4   0.0    1.0  1  0000000746   
          0 2175.6   0.0          0 2175.3   0.0    1.0  1  0000000747   
          0 2175.6   0.0          0 2175.3   0.0    1.0  1  PLCG1_MOUSE  
          0 2174.0   0.0          0 2173.7   0.0    1.0  1  0000000745   
          0 2173.1   0.0          0 2172.8   0.0    1.0  1  0000000744   
          0 2173.1   0.0          0 2172.8   0.0    1.0  1  PLCG1_RAT    
          0 2172.5   0.0          0 2172.2   0.0    1.0  1  0000000749   
          0 2172.4   0.0          0 2172.1   0.0    1.0  1  0000000751   
          0 2172.4   0.0          0 2172.1   0.0    1.0  1  PLCG1_HUMAN  
          0 2172.4   0.0          0 2172.1   0.0    1.0  1  0000000752   
          0 2171.8   0.0          0 2171.5   0.0    1.0  1  0000000748   
          0 2171.4   0.0          0 2171.1   0.0    1.0  1  0000000750   
          0 2166.9   0.0          0 2166.6   0.0    1.0  1  0000000755   
          0 2165.2   0.0          0 2164.9   0.0    1.0  1  0000000757   
          0 2165.1   0.0          0 2164.8   0.0    1.0  1  0000000765   
          0 2163.6   0.0          0 2163.3   0.0    1.0  1  PLCG1_BOVIN  
          0 2159.9   0.0          0 2159.6   0.0    1.0  1  0000000772   
          0 2156.4   0.0          0 2156.1   0.0    1.0  1  0000000761   
          0 2156.1   0.0          0 2155.7   0.0    1.0  1  0000000762   
          0 2154.7   0.0          0 2154.4   0.0    1.0  1  0000000756   
          0 2150.0   0.0          0 2149.7   0.0    1.0  1  0000000753   
          0 2148.8   0.0          0 2148.5   0.0    1.0  1  0000000766   
          0 2139.7   0.0          0 2139.3   0.0    1.0  1  0000000769   
          0 2139.1   0.0          0 2138.8   0.0    1.0  1  0000000768   
          0 2130.9   8.3          0 2130.5   8.3    1.0  1  0000000791   
          0 2120.6   0.0          0 2120.2   0.0    1.0  1  0000000770   
          0 2117.2   0.0          0 2116.9   0.0    1.0  1  0000000778   
          0 2114.3   0.0          0 2113.9   0.0    1.0  1  0000000797   
          0 2113.5   0.0          0 2113.1   0.0    1.0  1  0000000796   
          0 2096.5   0.0          0 2096.2   0.0    1.0  1  0000000759   
          0 2089.0   0.0          0 2088.7   0.0    1.0  1  0000000767   
          0 2087.7   0.0          0 2087.5   0.0    1.0  1  0000000758   
          0 2086.2   0.0          0 2085.9   0.0    1.0  1  0000000795   
          0 2084.7   0.0          0 2084.5   0.0    1.0  1  0000000760   
          0 2083.6   0.1          0 2083.3   0.1    1.0  1  0000000798   
          0 2083.4   0.0          0 2083.1   0.0    1.0  1  0000000771   
          0 2080.8   0.1          0 2080.3   0.1    1.0  1  0000000783   
          0 2079.5   0.0          0 2079.1   0.0    1.0  1  0000000786   
          0 2076.2   0.0          0 2075.8   0.0    1.0  1  0000000787   
          0 2075.3   0.1          0 2075.1   0.1    1.0  1  0000000799   
          0 2074.0   0.1          0 2073.6   0.1    1.0  1  0000000785   
          0 2072.0   0.1          0 2071.6   0.1    1.0  1  0000000788   
          0 2070.0   0.0          0 2069.9   0.0    1.0  1  0000000763   
          0 2067.6   0.7          0 2067.4   0.7    1.0  1  0000000784   
          0 2065.9   0.0          0 2065.5   0.0    1.0  1  0000000777   
          0 2065.1   0.0          0 2064.9   0.0    1.0  1  0000000764   
          0 2064.5   1.3          0 2064.2   1.3    1.0  1  0000000782   
          0 2047.8   0.0          0 2047.5   0.0    1.0  1  0000000776   
          0 2043.9   0.0          0 2043.6   0.0    1.0  1  0000000775   
          0 2027.7   0.0          0 2027.3   0.0    1.0  1  0000000794   
          0 2026.7   0.0          0 2026.5   0.0    1.0  1  0000000774   
          0 2023.5   1.3          0 2023.2   1.3    1.0  1  0000000790   
          0 2014.3   0.0          0 2013.9   0.0    1.0  1  0000000773   
          0 2004.9   0.0          0 2004.4   0.0    1.0  1  0000000780   
          0 1999.8   0.0          0 1999.5   0.0    1.0  1  0000000779   
          0 1975.6  12.9          0 1975.3  12.9    1.0  1  0000000824   
          0 1974.6  13.6          0 1974.3  13.6    1.0  1  0000000823   
          0 1974.6  13.6          0 1974.3  13.6    1.0  1  PLCG2_HUMAN  
          0 1973.2   9.9          0 1972.8   9.9    1.0  1  0000000831   
          0 1970.6  12.1          0 1970.3  12.1    1.0  1  0000000827   
          0 1967.2  12.3          0 1966.9  12.3    1.0  1  0000000829   
          0 1965.3   9.5          0 1964.9   9.5    1.0  1  0000000835   
          0 1965.3   9.5          0 1964.9   9.5    1.0  1  PLCG2_MOUSE  
          0 1964.2   7.9          0 1963.9   7.9    1.0  1  0000000834   
          0 1964.2   7.9          0 1963.9   7.9    1.0  1  PLCG2_RAT    
          0 1961.5  10.7          0 1961.2  10.7    1.0  1  0000000833   
          0 1959.0   0.0          0 1958.7   0.0    1.0  1  0000000789   
          0 1955.9  12.8          0 1955.6  12.8    1.0  1  0000000830   
          0 1953.8  13.5          0 1953.5  13.5    1.0  1  0000000832   
          0 1948.5  19.5          0 1948.1  19.5    1.0  1  0000000847   
          0 1942.7  19.2          0 1942.4  19.2    1.0  1  0000000846   
          0 1942.7  10.3          0 1942.3  10.3    1.0  1  0000000837   
          0 1942.2  13.1          0 1941.9  13.1    1.0  1  0000000842   
          0 1942.1  14.3          0 1941.8  14.3    1.0  1  0000000841   
          0 1942.0  16.8          0 1941.6  16.8    1.0  1  0000000848   
          0 1939.8   8.3          0 1939.5   8.3    1.0  1  0000000840   
          0 1927.8  14.7          0 1927.4  14.7    1.0  1  0000000826   
          0 1914.2  13.7          0 1168.0   0.3    2.0  2  0000000825   
          0 1912.5  11.0          0 1912.1  11.0    1.0  1  0000000849   
          0 1890.3   5.6          0 1890.0   5.6    1.0  1  0000000838   
          0 1882.9   1.9          0 1882.7   1.9    1.0  1  0000000811   
          0 1879.7   0.0          0 1879.6   0.0    1.0  1  0000000754   
          0 1875.4   4.5          0 1875.3   4.5    1.0  1  0000000843   
          0 1867.0  12.8          0 1866.7  12.8    1.0  1  0000000828   
          0 1860.3   6.4          0 1860.1   6.4    1.0  1  0000000836   
          0 1850.5   6.2          0 1850.2   6.2    1.0  1  0000000793   
          0 1841.9   0.7          0 1841.7   0.7    1.0  1  0000000812   
          0 1840.7   5.8          0 1840.3   5.8    1.0  1  0000000859   
          0 1840.6   6.0          0 1840.3   6.0    1.0  1  0000000860   
